"part.gender" "part.age.cat" "part.group.cat" "cont.group.cat" "cont.age.cat" "male_interact" "female_interact" "part.inf" "cont.inf"
"1" 0 0 "child" "child" 0 1.4432229 1.0887471 1 1
"1.2" 0 0 "child" "child" 0 1.4432229 1.0887471 2 1
"1.3" 0 0 "child" "child" 0 1.4432229 1.0887471 3 1
"1.4" 0 0 "child" "child" 0 1.4432229 1.0887471 4 1
"1.5" 0 0 "child" "child" 0 1.4432229 1.0887471 5 1
"1.6" 0 0 "child" "child" 0 1.4432229 1.0887471 1 2
"1.7" 0 0 "child" "child" 0 1.4432229 1.0887471 2 2
"1.8" 0 0 "child" "child" 0 1.4432229 1.0887471 3 2
"1.9" 0 0 "child" "child" 0 1.4432229 1.0887471 4 2
"1.10" 0 0 "child" "child" 0 1.4432229 1.0887471 5 2
"1.11" 0 0 "child" "child" 0 1.4432229 1.0887471 1 3
"1.12" 0 0 "child" "child" 0 1.4432229 1.0887471 2 3
"1.13" 0 0 "child" "child" 0 1.4432229 1.0887471 3 3
"1.14" 0 0 "child" "child" 0 1.4432229 1.0887471 4 3
"1.15" 0 0 "child" "child" 0 1.4432229 1.0887471 5 3
"1.16" 0 0 "child" "child" 0 1.4432229 1.0887471 1 4
"1.17" 0 0 "child" "child" 0 1.4432229 1.0887471 2 4
"1.18" 0 0 "child" "child" 0 1.4432229 1.0887471 3 4
"1.19" 0 0 "child" "child" 0 1.4432229 1.0887471 4 4
"1.20" 0 0 "child" "child" 0 1.4432229 1.0887471 5 4
"1.21" 0 0 "child" "child" 0 1.4432229 1.0887471 1 5
"1.22" 0 0 "child" "child" 0 1.4432229 1.0887471 2 5
"1.23" 0 0 "child" "child" 0 1.4432229 1.0887471 3 5
"1.24" 0 0 "child" "child" 0 1.4432229 1.0887471 4 5
"1.25" 0 0 "child" "child" 0 1.4432229 1.0887471 5 5
"1.1" 1 0 "child" "child" 0 1.4432229 1.0887471 1 1
"1.1.1" 1 0 "child" "child" 0 1.111812334 1.420387063 2 1
"1.1.2" 1 0 "child" "child" 0 1.111812334 1.420387063 3 1
"1.1.3" 1 0 "child" "child" 0 1.111812334 1.420387063 4 1
"1.1.4" 1 0 "child" "child" 0 1.111812334 1.420387063 5 1
"1.1.5" 1 0 "child" "child" 0 1.111812334 1.420387063 1 2
"1.1.6" 1 0 "child" "child" 0 1.111812334 1.420387063 2 2
"1.1.7" 1 0 "child" "child" 0 1.111812334 1.420387063 3 2
"1.1.8" 1 0 "child" "child" 0 1.111812334 1.420387063 4 2
"1.1.9" 1 0 "child" "child" 0 1.111812334 1.420387063 5 2
"1.1.10" 1 0 "child" "child" 0 1.111812334 1.420387063 1 3
"1.1.11" 1 0 "child" "child" 0 1.111812334 1.420387063 2 3
"1.1.12" 1 0 "child" "child" 0 1.111812334 1.420387063 3 3
"1.1.13" 1 0 "child" "child" 0 1.111812334 1.420387063 4 3
